0	( + ( 0 0 ) )
1	( + ( 0 1 ) )
2	( + ( 0 2 ) )
3	( + ( 0 3 ) )
4	( + ( 0 4 ) )
5	( + ( 0 5 ) )
6	( + ( 0 6 ) )
7	( + ( 0 7 ) )
8	( + ( 0 8 ) )
9	( + ( 0 9 ) )
10	( + ( 0 10 ) )
11	( + ( 0 11 ) )
12	( + ( 0 12 ) )
13	( + ( 0 13 ) )
14	( + ( 0 14 ) )
15	( + ( 0 15 ) )
16	( + ( 0 16 ) )
17	( + ( 0 17 ) )
18	( + ( 0 18 ) )
19	( + ( 0 19 ) )
1	( + ( 1 0 ) )
2	( + ( 1 1 ) )
3	( + ( 1 2 ) )
4	( + ( 1 3 ) )
5	( + ( 1 4 ) )
6	( + ( 1 5 ) )
7	( + ( 1 6 ) )
8	( + ( 1 7 ) )
9	( + ( 1 8 ) )
10	( + ( 1 9 ) )
11	( + ( 1 10 ) )
12	( + ( 1 11 ) )
13	( + ( 1 12 ) )
14	( + ( 1 13 ) )
15	( + ( 1 14 ) )
16	( + ( 1 15 ) )
17	( + ( 1 16 ) )
18	( + ( 1 17 ) )
19	( + ( 1 18 ) )
20	( + ( 1 19 ) )
2	( + ( 2 0 ) )
3	( + ( 2 1 ) )
4	( + ( 2 2 ) )
5	( + ( 2 3 ) )
6	( + ( 2 4 ) )
7	( + ( 2 5 ) )
8	( + ( 2 6 ) )
9	( + ( 2 7 ) )
10	( + ( 2 8 ) )
11	( + ( 2 9 ) )
12	( + ( 2 10 ) )
13	( + ( 2 11 ) )
14	( + ( 2 12 ) )
15	( + ( 2 13 ) )
16	( + ( 2 14 ) )
17	( + ( 2 15 ) )
18	( + ( 2 16 ) )
19	( + ( 2 17 ) )
20	( + ( 2 18 ) )
21	( + ( 2 19 ) )
3	( + ( 3 0 ) )
4	( + ( 3 1 ) )
5	( + ( 3 2 ) )
6	( + ( 3 3 ) )
7	( + ( 3 4 ) )
8	( + ( 3 5 ) )
9	( + ( 3 6 ) )
10	( + ( 3 7 ) )
11	( + ( 3 8 ) )
12	( + ( 3 9 ) )
13	( + ( 3 10 ) )
14	( + ( 3 11 ) )
15	( + ( 3 12 ) )
16	( + ( 3 13 ) )
17	( + ( 3 14 ) )
18	( + ( 3 15 ) )
19	( + ( 3 16 ) )
20	( + ( 3 17 ) )
21	( + ( 3 18 ) )
22	( + ( 3 19 ) )
4	( + ( 4 0 ) )
5	( + ( 4 1 ) )
6	( + ( 4 2 ) )
7	( + ( 4 3 ) )
8	( + ( 4 4 ) )
9	( + ( 4 5 ) )
10	( + ( 4 6 ) )
11	( + ( 4 7 ) )
12	( + ( 4 8 ) )
13	( + ( 4 9 ) )
14	( + ( 4 10 ) )
15	( + ( 4 11 ) )
16	( + ( 4 12 ) )
17	( + ( 4 13 ) )
18	( + ( 4 14 ) )
19	( + ( 4 15 ) )
20	( + ( 4 16 ) )
21	( + ( 4 17 ) )
22	( + ( 4 18 ) )
23	( + ( 4 19 ) )
5	( + ( 5 0 ) )
6	( + ( 5 1 ) )
7	( + ( 5 2 ) )
8	( + ( 5 3 ) )
9	( + ( 5 4 ) )
10	( + ( 5 5 ) )
11	( + ( 5 6 ) )
12	( + ( 5 7 ) )
13	( + ( 5 8 ) )
14	( + ( 5 9 ) )
15	( + ( 5 10 ) )
16	( + ( 5 11 ) )
17	( + ( 5 12 ) )
18	( + ( 5 13 ) )
19	( + ( 5 14 ) )
20	( + ( 5 15 ) )
21	( + ( 5 16 ) )
22	( + ( 5 17 ) )
23	( + ( 5 18 ) )
24	( + ( 5 19 ) )
6	( + ( 6 0 ) )
7	( + ( 6 1 ) )
8	( + ( 6 2 ) )
9	( + ( 6 3 ) )
